Head to head statistics:

 1) Goldfish v2.0.0-rc7 2050.6 :    650 (+322,=216,-112),  66.2 %
26) Goldfish v1.1       1635.1 :    597 (+58,=304,-235),  35.2 %

    vs.                        :  games (  +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     33 (  1,   6,  26),  12.1 :  -271.6
    Goldfish v1.11.1           :     34 (  5,   9,  20),  27.9 :  -258.4
    Goldfish v1.9.0            :     33 (  1,  12,  20),  21.2 :  -243.7
    Goldfish v1.7.0            :     43 (  0,  20,  23),  23.3 :  -179.2
    Goldfish v1.8.2            :     33 (  1,  10,  22),  18.2 :  -174.3
    Goldfish v1.6.0            :     43 (  2,  25,  16),  33.7 :  -149.2
    Goldfish v1.5.1            :     43 (  2,  28,  13),  37.2 :   -91.6
    Goldfish v1.5              :     10 (  2,   2,   6),  30.0 :   -89.3
    Goldfish v1.4              :     93 (  4,  52,  37),  32.3 :   -86.4
    Goldfish v1.3              :     93 ( 15,  53,  25),  44.6 :   -71.7
    Goldfish v1.2              :     73 ( 11,  42,  20),  43.8 :   -41.2
    Goldfish v1.0              :     66 ( 14,  45,   7),  55.3 :    +5.3

27) Goldfish v1.0       1629.8 :    397 (+42,=175,-180),  32.6 %

    vs.                        :  games (  +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     33 (  3,   7,  23),  19.7 :  -276.9
    Goldfish v1.11.1           :     34 (  3,   5,  26),  16.2 :  -263.7
    Goldfish v1.9.0            :     33 (  4,   7,  22),  22.7 :  -249.0
    Goldfish v1.7.0            :     33 (  3,  14,  16),  30.3 :  -184.5
    Goldfish v1.8.2            :     33 (  1,  14,  18),  24.2 :  -179.6
    Goldfish v1.6.0            :     33 (  2,  13,  18),  25.8 :  -154.5
    Goldfish v1.5.1            :     33 (  3,  19,  11),  37.9 :   -96.9
    Goldfish v1.4              :     33 (  4,  18,  11),  39.4 :   -91.7
    Goldfish v1.3              :     33 (  6,  16,  11),  42.4 :   -77.0
    Goldfish v1.2              :     33 (  6,  17,  10),  43.9 :   -46.5
    Goldfish v1.1              :     66 (  7,  45,  14),  44.7 :    -5.3


Loading data (2000 games x dot): 

......|

Total games            13377
 - White wins           3989
 - Draws                5952
 - Black wins           3425
 - Truncated              11
Unique head to head     1.48%
Reference rating      1983.0 (set to "Goldfish v1.13.0")

Loose Anchors = none
Relative Anchors = none

Convergence rating calculation (cycle #1)

phase iteration    deviation    resolution
  0       2     55.141735592      66.31748
  1       2     50.667617355      55.42436
  2       2     47.465637091      50.15142
  3       2     40.235664596      39.34928
  4       3     33.262244605      31.87095
  5       3     29.000823466      25.53432
  6       6     22.202687227      21.06327
  7       7     14.981443660      14.63966
  8      11      8.715786744       8.82721
